,time,country,commodity,price
0,2020-06-01,Australia,Beef,4.97
1,2020-05-01,Australia,Beef,5.07
2,2020-04-01,Australia,Beef,4.46
3,2020-03-01,Australia,Beef,4.39
4,2020-02-01,Australia,Beef,4.55
5,2020-01-01,Australia,Beef,4.93
6,2019-12-01,Australia,Beef,5.72
7,2019-11-01,Australia,Beef,6.2
8,2019-10-01,Australia,Beef,5.09
9,2019-09-01,Australia,Beef,4.83
10,2019-08-01,Australia,Beef,4.69
11,2019-07-01,Australia,Beef,4.73
12,2019-06-01,Australia,Beef,4.65
13,2019-05-01,Australia,Beef,4.59
14,2019-04-01,Australia,Beef,4.75
15,2019-03-01,Australia,Beef,4.54
16,2019-02-01,Australia,Beef,4.44
17,2019-01-01,Australia,Beef,4.24
18,2018-12-01,Australia,Beef,4.18
19,2018-11-01,Australia,Beef,3.96
20,2018-10-01,Australia,Beef,3.82
21,2018-09-01,Australia,Beef,4.02
22,2018-08-01,Australia,Beef,4.1
23,2018-07-01,Australia,Beef,4.12
24,2018-06-01,Australia,Beef,4.18
25,2018-05-01,Australia,Beef,4.26
26,2018-04-01,Australia,Beef,4.27
27,2018-03-01,Australia,Beef,4.53
28,2018-02-01,Australia,Beef,4.55
29,2018-01-01,Australia,Beef,4.38
30,2017-12-01,Australia,Beef,4.3
31,2017-11-01,Australia,Beef,4.47
32,2017-10-01,Australia,Beef,4.43
33,2017-09-01,Australia,Beef,4.35
34,2017-08-01,Australia,Beef,4.31
35,2017-07-01,Australia,Beef,4.73
36,2017-06-01,Australia,Beef,4.75
37,2017-05-01,Australia,Beef,4.61
38,2017-04-01,Australia,Beef,4.51
39,2017-03-01,Australia,Beef,4.51
40,2017-02-01,Australia,Beef,4.4
41,2017-01-01,Australia,Beef,4.19
42,2016-12-01,Australia,Beef,3.98
43,2016-11-01,Australia,Beef,4.19
44,2016-10-01,Australia,Beef,4.07
45,2016-09-01,Australia,Beef,4.16
46,2016-08-01,Australia,Beef,4.31
47,2016-07-01,Australia,Beef,4.46
48,2016-06-01,Australia,Beef,4.29
49,2016-05-01,Australia,Beef,4.22
50,2016-04-01,Australia,Beef,4.16
51,2016-03-01,Australia,Beef,4.15
52,2016-02-01,Australia,Beef,4.21
53,2016-01-01,Australia,Beef,3.85
54,2015-12-01,Australia,Beef,3.88
55,2015-11-01,Australia,Beef,4.09
56,2015-10-01,Australia,Beef,4.54
57,2015-09-01,Australia,Beef,4.98
58,2015-08-01,Australia,Beef,5.16
59,2015-07-01,Australia,Beef,4.94
60,2015-06-01,Australia,Beef,4.69
61,2015-05-01,Australia,Beef,4.75
62,2015-04-01,Australia,Beef,5.07
63,2015-03-01,Australia,Beef,4.66
64,2015-02-01,Australia,Beef,4.57
65,2015-01-01,Australia,Beef,5.06
66,2014-12-01,Australia,Beef,5.35
67,2014-11-01,Australia,Beef,5.9
68,2014-10-01,Australia,Beef,6.01
69,2014-09-01,Australia,Beef,6.17
70,2014-08-01,Australia,Beef,5.81
71,2014-07-01,Australia,Beef,5.14
72,2014-06-01,Australia,Beef,4.4
73,2014-05-01,Australia,Beef,4.25
74,2014-04-01,Australia,Beef,4.31
75,2014-03-01,Australia,Beef,4.45
76,2014-02-01,Australia,Beef,4.23
77,2014-01-01,Australia,Beef,4.18
78,2013-12-01,Australia,Beef,4.15
79,2013-11-01,Australia,Beef,4.1
80,2013-10-01,Australia,Beef,4.0
